Source Name	Sample Name	Factor Value Space Mission	Spaceflight	Tissue	0	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000
RR9_CC11_CC1	CC11_CC1_sol	RR-9	Cohort_Control	soleus_muscle	1	0.99935632	0.99889353	0.99850208	0.99816597	0.99773035	0.99755324	0.99759476	0.99760933	0.99737077	0.99720951	0.99639309	0.9955461	0.99477445	0.99449322	0.99397577	0.99383021	0.99343069	0.99301961	0.99261827	0.99223218	0.99197587	0.99199845	0.99171654	0.99121948																										
RR9_CC12_CC1	CC12_CC1_sol	RR-9	Cohort_Control	soleus_muscle	1	0.99883444	0.99847625	0.9981269	0.9978034	0.99733283	0.99662499	0.99588307	0.99507502	0.99451408	0.99437163	0.99404239	0.99392835	0.99405206	0.9940807	0.99397944	0.99406468	0.99391135	0.99390689	0.99371707	0.99328202	0.99326449	0.99294031	0.99252842	0.9923538																										
RR9_CC13_CC1	CC13_CC1_sol	RR-9	Cohort_Control	soleus_muscle	1	0.99878417	0.99796011	0.99737262	0.99677876	0.99632166	0.99569621	0.99535603	0.99486711	0.99476832	0.99454514	0.99420925	0.99440505	0.99475108	0.99504116	0.9953564	0.99571005	0.99568889	0.99567549	0.99499535	0.99455357	0.99447957	0.99493253	0.99511953	0.99565847																										
RR9_CC14_CC1	CC14_CC1_sol	RR-9	Cohort_Control	soleus_muscle	1	0.99834725	0.99759907	0.99663591	0.99527136	0.99442575	0.99350317	0.99287651	0.99266723	0.99256454	0.99262747	0.99294057	0.99282513	0.99301206	0.99324332	0.99315451	0.99344256	0.99354187	0.99361786	0.99368507	0.99389908	0.99409464	0.9948741	0.99513971	0.99599643																										
RR9_CC15_CC1	CC15_CC1_sol	RR-9	Cohort_Control	soleus_muscle	1	0.99777859	0.99684052	0.99626534	0.99650192	0.99647814	0.99644567	0.9965056	0.99640861	0.99570449	0.99536095	0.99483221	0.99440135	0.9938075	0.99328303	0.99297054	0.99276772	0.99235441	0.99193428	0.99150028	0.99103852	0.99048502	0.99025915	0.99024499	0.99018986																										
RR9_CC16_CC1	CC16_CC1_sol	RR-9	Cohort_Control	soleus_muscle	1	0.99860844	0.99803815	0.9977888	0.99734303	0.99693056	0.99697072	0.99704294	0.99701243	0.99726061	0.99712676	0.99667647	0.99614221	0.99547013	0.99460045	0.99429118	0.99398432	0.99358158	0.99338555	0.99328009	0.9928821	0.99274926	0.99264459	0.99233384	0.99240271																										
RR9_Fviv13_CC2	Fviv13_CC2_sol	RR-9	Cohort_Control	soleus_muscle	1	0.99721051	0.99603337	0.99507806	0.99362895	0.99296103	0.99210023	0.99162693	0.99087243	0.99135171	0.99170193	0.99226037	0.99237968	0.993078	0.99320661	0.9934292	0.99364899	0.99388602	0.99401577	0.99405425	0.99396586	0.99366464	0.99374433	0.99347887	0.99356355																										
RR9_Fviv14_CC2	Fviv14_CC2_sol	RR-9	Cohort_Control	soleus_muscle	1	0.99818934	0.99704059	0.99599079	0.99473799	0.99454199	0.99399867	0.9941576	0.99448041	0.99487698	0.99501133	0.99585302	0.99576123	0.99584221	0.99538787	0.99473122	0.99355438	0.99311648	0.99201477	0.99146833	0.99053804	0.99038314	0.98988899	0.99016552	0.99017991																										
RR9_Fviv15_CC2	Fviv15_CC2_sol	RR-9	Cohort_Control	soleus_muscle	1	1.00022052	1.00005568	0.9999594	0.99973363	0.99956635	0.99890472	0.9987603	0.99805517	0.99782856	0.99731134	0.99691738	0.99620479	0.995817	0.99482721	0.99397705	0.99315805	0.99272866	0.99275662	0.99301439	0.99339395	0.99397538	0.99450485	0.99453867	0.99442563																										
RR9_Fviv17_CC2	Fviv17_CC2_sol	RR-9	Cohort_Control	soleus_muscle	1	0.99897107	0.99872149	0.9982753	0.99786245	0.99790264	0.99797493	0.9979444	0.99819281	0.99805882	0.99760812	0.99707336	0.99640065	0.99553016	0.9952206	0.99491345	0.99451034	0.99431412	0.99420857	0.99381021	0.99367724	0.99357247	0.99326143	0.99333037	0.99354427																										
