Source Name	Sample Name	Characteristics: Organism	Characteristics: Strain	Comment: Animal Source	Characteristics: Genotype	Factor Value: Spaceflight	Factor Value: Tissue	Characteristics: sex	Factor Value: Space Mission	Characteristics: Age at Launch	Characteristics: Material Type	Protocol REF	Parameter Value: duration	Parameter Value: habitat	Parameter Value: Enrichment material	Protocol REF	Parameter Value: Euthanasia Method	Parameter Value: Collection Condition	Parameter Value: Sample Preservation Method	Parameter Value: Sample Storage Temperature
RR9_CC11_CC1	CC11_CC1_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_CC12_CC1	CC12_CC1_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_CC13_CC1	CC13_CC1_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_CC14_CC1	CC14_CC1_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_CC15_CC1	CC15_CC1_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_CC16_CC1	CC16_CC1_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 1	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Fviv13_CC2	Fviv13_CC2_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Fviv14_CC2	Fviv14_CC2_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Fviv15_CC2	Fviv15_CC2_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Fviv17_CC2	Fviv17_CC2_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Fviv18_CC2	Fviv18_CC2_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_Fviv19_CC2	Fviv19_CC2_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Cohort Control 2	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Vivarium Cages	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC11	GC11_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC12	GC12_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC13	GC13_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC14	GC14_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC15	GC15_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC16	GC16_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC17	GC17_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC18	GC18_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC19	GC19_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR9_GC20	GC20_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	male	SpaceX-12 (RR9)	10 week	soleus muscle	Animal Husbandry	35 day	Rodent Habitat	Hut	Sample Collection	Carbon Dioxide	Collected Upon Live Return	RNALater	-80 degree Celsius
RR1_M11	M11_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Rodent Habitat	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR1_M12	M12_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Rodent Habitat	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR1_M13	M13_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Rodent Habitat	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
RR1_M14	M14_sol	Mus musculus	C57BL/6J	Jackson Labs	Wild Type	Ground Control	soleus muscle	female	SpaceX-4 (RR1)	16 week	soleus muscle	Animal Husbandry	37 day	Rodent Habitat	None	Sample Collection	Intraperitoneal injection of Euthasol; Cervical dislocation	Collected From Carcass Post-Flight	Liquid Nitrogen	-80 degree Celsius
